pdf_id,file_name,state,district,year,format_id,source_page_start,source_page_end,table_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
tehri_garhwal_civic_1971,tehri_garhwal_civic_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_001,33,34,tehri_garhwal_civic_001,1,2,10,11
tehri_garhwal_mededu_1971,tehri_garhwal_mededu_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_002,35,36,tehri_garhwal_mededu_001,1,2,12,13
tehri_garhwal_tehsil_1971,tehri_garhwal_tehsil_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_003,231,232,tehri_garhwal_tehsil_001,1,2,208,209
unnao_civic_1971,unnao_civic_1971.pdf,Uttar Pradesh,Unnao,1971,format_001,22,23,unnao_civic_001,1,2,4,5
unnao_mededu_1971,unnao_mededu_1971.pdf,Uttar Pradesh,Unnao,1971,format_002,24,25,unnao_mededu_001,1,2,6,7
unnao_tehsil_1971,unnao_tehsil_1971.pdf,Uttar Pradesh,Unnao,1971,format_003,202,203,unnao_tehsil_001,1,2,164,165
uttar_kashi_civic_1971,uttar_kashi_civic_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_001,25,26,uttar_kashi_civic_001,1,2,6,7
uttar_kashi_mededu_1971,uttar_kashi_mededu_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_002,25,26,uttar_kashi_mededu_001,1,2,6,7
uttar_kashi_tehsil_1971,uttar_kashi_tehsil_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_003,103,104,uttar_kashi_tehsil_001,1,2,84,85
varanasi_civic_1971,varanasi_civic_1971.pdf,Uttar Pradesh,Varanasi,1971,format_001,31,32,varanasi_civic_001,1,2,10,11
varanasi_mededu_1971,varanasi_mededu_1971.pdf,Uttar Pradesh,Varanasi,1971,format_002,33,34,varanasi_mededu_001,1,2,12,13
