state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Bihar,Bihar,Ranchi,1971\Bihar\25194_1971_RAN.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"47,48",output\pdf\1971_trimmed\Bihar\mededu\Ranchi_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Ranchi,1971\Bihar\25194_1971_RAN.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"247,248,249,250",output\pdf\1971_trimmed\Bihar\tehsil appendix\Ranchi_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Monghyr,1971\Bihar\25257_1971_MON.pdf,civic_amenities,Civic Amenities,Trimmed,50,output\pdf\1971_trimmed\Bihar\civic amenities\Monghyr_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Monghyr,1971\Bihar\25257_1971_MON.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,51,output\pdf\1971_trimmed\Bihar\mededu\Monghyr_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Monghyr,1971\Bihar\25257_1971_MON.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"264,265,266,267",output\pdf\1971_trimmed\Bihar\tehsil appendix\Monghyr_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Patna,1971\Bihar\25312_1971_PAT.pdf,civic_amenities,Civic Amenities,Trimmed,"34,35",output\pdf\1971_trimmed\Bihar\civic amenities\Patna_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Bihar,Bihar,Patna,1971\Bihar\25312_1971_PAT.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"36,37",output\pdf\1971_trimmed\Bihar\mededu\Patna_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Patna,1971\Bihar\25312_1971_PAT.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"186,187,188,189",output\pdf\1971_trimmed\Bihar\tehsil appendix\Patna_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Champaran,1971\Bihar\25599_1971_CHA.pdf,civic_amenities,Civic Amenities,Trimmed,37,output\pdf\1971_trimmed\Bihar\civic amenities\Champaran_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Bihar,Bihar,Champaran,1971\Bihar\25599_1971_CHA.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,37,output\pdf\1971_trimmed\Bihar\mededu\Champaran_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
