sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
(ii),,Almora Cantt.,,PR (1) KR (1),,ST/OSD,,10,,23,,12,,HL,,SR/R,,"318,000 Galls.",,Yes,,21,,1,,7,,50,,...,,1.0,1.0,COMPONENT,,False,4,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
3,,Bageshwar,,PR (5) KR (3),,PT/OSD,,10,,218,,6,,B/HC,,R,,...,,...,,115,,4,,150,,62,,...,,5.0,3.0,ORDINARY,,False,5,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
4,,Ranikhet Cantt.,,PR (11) KR (3),,ST/OSD,,140,,58,,520,,HL,,SR/R,,"73,000 Galls.",,Yes,,292,,5,,336,,234,,...,,11.0,3.0,ORDINARY,,False,6,almora_civic_1971,Almora,Uttar Pradesh,1971,format_001,almora_civic_001,almora_civic_1971.pdf,3766e7bd7375f3cdfc7d620138a5c99d6c8c86d8c30b9e12716e160531a1dd05,21,22,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:03.845934+00:00
1,,Azamgarh,,PR (25) KR (4),,PT/OSD,,801,,"7,524",,...,,B,,TW/OHT,,"60,000 Galls.",,...,,"3,525",,180,,N.A.,,"1,200",,...,,25.0,4.0,ORDINARY,,False,0,azamgarh_civic_1971,Azamgarh,Uttar Pradesh,1971,format_001,azamgarh_civic_001,azamgarh_civic_1971.pdf,e03d2d48bbadd5f860992ed2a461fa597b6f62ec62bdfe3a0e948c207ff2d6c2,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:09.274545+00:00
2,,Kopaganj,,PR (5) KR (10),,PT/OSD,,6,,206,,...,,B,,HP,,...,,...,,400,,70,,300,,90,,...,,5.0,10.0,ORDINARY,,False,1,azamgarh_civic_1971,Azamgarh,Uttar Pradesh,1971,format_001,azamgarh_civic_001,azamgarh_civic_1971.pdf,e03d2d48bbadd5f860992ed2a461fa597b6f62ec62bdfe3a0e948c207ff2d6c2,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:09.274545+00:00
3,,Maunath Bhanjan,,PR (44.53) KR (12),,PT/OSD,,71,,"3,780",,...,,B,,TW/OHT,,"30,000 Galls.",,...,,"1,850",,440,,"1,000",,600,,...,,44.53,12.0,ORDINARY,,False,2,azamgarh_civic_1971,Azamgarh,Uttar Pradesh,1971,format_001,azamgarh_civic_001,azamgarh_civic_1971.pdf,e03d2d48bbadd5f860992ed2a461fa597b6f62ec62bdfe3a0e948c207ff2d6c2,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:09.274545+00:00
4,,Mubarakpur,,PR (5) KR (3),,PT/OSD,,50,,541,,...,,B,,HP,,...,,...,,125,,77,,257,,295,,...,,5.0,3.0,ORDINARY,,False,3,azamgarh_civic_1971,Azamgarh,Uttar Pradesh,1971,format_001,azamgarh_civic_001,azamgarh_civic_1971.pdf,e03d2d48bbadd5f860992ed2a461fa597b6f62ec62bdfe3a0e948c207ff2d6c2,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:09.274545+00:00
5,,Muhammadabad,,PR (2) KR (2),,PT/OSD,,10,,575,,...,,B,,HP,,...,,...,,281,,27,,172,,122,,...,,2.0,2.0,ORDINARY,,False,4,azamgarh_civic_1971,Azamgarh,Uttar Pradesh,1971,format_001,azamgarh_civic_001,azamgarh_civic_1971.pdf,e03d2d48bbadd5f860992ed2a461fa597b6f62ec62bdfe3a0e948c207ff2d6c2,23,24,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:09.274545+00:00
1,,Bahraich,,PR (11) KR (16),,S/ST/OSD,,"2,484",,"4,083",,...,,B/C,,TW/OHT,,"48,500 Galls.",,...,,"3,603",,161,,508,,575,,...,,11.0,16.0,ORDINARY,,False,0,bahraich_civic_1971,Bahraich,Uttar Pradesh,1971,format_001,bahraich_civic_001,bahraich_civic_1971.pdf,2e026e94b41d86876f149af48414efae94f630afd0d972bd5b4d88b14a984032,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:20.743780+00:00
2,,Bhinga,,PR (7) KR (16),,ST/OSD,,10,,950,,..,,B/C,,TW/OHT,,"10,000 Galls.",,...,,...,,...,,...,,...,,...,,7.0,16.0,ORDINARY,,False,1,bahraich_civic_1971,Bahraich,Uttar Pradesh,1971,format_001,bahraich_civic_001,bahraich_civic_1971.pdf,2e026e94b41d86876f149af48414efae94f630afd0d972bd5b4d88b14a984032,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:20.743780+00:00
3,,Nanpara,,PR (5) KR (9),,OSD,,...,,"2,630",,...,,B/C,,TW/OHT,,"50,000 Galls.",,...,,428,,45,,250,,150,,...,,5.0,9.0,ORDINARY,,False,2,bahraich_civic_1971,Bahraich,Uttar Pradesh,1971,format_001,bahraich_civic_001,bahraich_civic_1971.pdf,2e026e94b41d86876f149af48414efae94f630afd0d972bd5b4d88b14a984032,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:20.743780+00:00
1,,Ballia,,PR (7) KR (3),,PT/OSD,,500,,"2,000",,...,,HL,,TW/OHT,,"100,000 Galls.",,...,,N.A.,,107,,N.A.,,N A.,,,,7.0,3.0,ORDINARY,,False,0,baliya_civic_1971,Baliya,Uttar Pradesh,1971,format_001,baliya_civic_001,baliya_civic_1971.pdf,ac48b835d4b55d42e6db38401af75cdcebc2517bee608de5b649783a9570415a,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:13.932172+00:00
2,,Rasra,,PR (10) KR (0),,PT/OSD,,135,,"1,763",,...,,,,HP/W,,...,,.,,670,,40,,5,,107,,...,,10.0,,ORDINARY,,False,1,baliya_civic_1971,Baliya,Uttar Pradesh,1971,format_001,baliya_civic_001,baliya_civic_1971.pdf,ac48b835d4b55d42e6db38401af75cdcebc2517bee608de5b649783a9570415a,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:13.932172+00:00
3,,Reoti,,PR(2) KR(6),,PT/OSD,,31,,833,,,,B,,HP/W,,,,...,,20,,17,,49,,40,,,,2.0,6.0,ORDINARY,,False,2,baliya_civic_1971,Baliya,Uttar Pradesh,1971,format_001,baliya_civic_001,baliya_civic_1971.pdf,ac48b835d4b55d42e6db38401af75cdcebc2517bee608de5b649783a9570415a,27,28,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:13.932172+00:00
1,,Atarra,,PR(8) KR(15),,OSD,,...,,"1,601",,...,,B/HC,,W/IHP,,...,,...,,642,,73,,20,,250,,...,,8,15,ORDINARY,,False,0,banda_civic_1971,Banda,Uttar Pradesh,1971,format_001,banda_civic_001,banda_civic_1971.pdf,24059d67a990af5ec06b5c86f1eaacea19a952d567473bb5dfc5a8d8f35440bb,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:23.151304+00:00
2,,Banda,,KR(0) PR(44),,PT/OSD,,90,,"8,221",,...,,B/HC,,SR/FW/OHT,,"290,000 Gallons",,...,,"2,735",,143,,83,,421,,...,,44,0,ORDINARY,,False,1,banda_civic_1971,Banda,Uttar Pradesh,1971,format_001,banda_civic_001,banda_civic_1971.pdf,24059d67a990af5ec06b5c86f1eaacea19a952d567473bb5dfc5a8d8f35440bb,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:23.151304+00:00
3,,Chitrakut Dham,,PR(21) KR(10),,PT/OSD,,80,,"2,204",,...,,B/HC,,W/IHP,,...,,...,,777,,66,,24,,299,,...,,21,10,ORDINARY,,False,2,banda_civic_1971,Banda,Uttar Pradesh,1971,format_001,banda_civic_001,banda_civic_1971.pdf,24059d67a990af5ec06b5c86f1eaacea19a952d567473bb5dfc5a8d8f35440bb,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:23.151304+00:00
4,,Manikpur Sarhat,,PR(9) KR(6),,OSD,,.,,220,,.,,B/HC,,W/IHP,,...,,...,,124,,5,,15,,30,,...,,9,6,ORDINARY,,False,3,banda_civic_1971,Banda,Uttar Pradesh,1971,format_001,banda_civic_001,banda_civic_1971.pdf,24059d67a990af5ec06b5c86f1eaacea19a952d567473bb5dfc5a8d8f35440bb,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:23.151304+00:00
5,,Rajapur,,PR(4) KR(6),,OSD,,...,,200,,...,,B/HC,,TW/OHT,,"50,000 Gallons",,...,,115,,11,,13,,85,,...,,4,6,ORDINARY,,False,4,banda_civic_1971,Banda,Uttar Pradesh,1971,format_001,banda_civic_001,banda_civic_1971.pdf,24059d67a990af5ec06b5c86f1eaacea19a952d567473bb5dfc5a8d8f35440bb,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:23.151304+00:00
1,,Banki,,,,SeeBaraBankiUrbanAgglomeration,,,,,,,,,,,,See,,Bara Banki,,Urban Agglomeration Uttar Pradesh,,,,,,,,,,,,ORDINARY,Bara Banki Urban Agglomeration,False,0,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
,,Bara Banki Urban Agglomeration,,PR (23.1) KR (10.6),,OSD/PT,,292,,"5,153",,,,B/HC,,HP/TW/OHT,,"110,000 Galls",,Yes,,"2,737",,100,,846,,826,,..,,23.1,10.6,AGGREGATE,,False,1,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
,,Banki,,PR (0.4) KR (1.2),,OSD/PT,,100,,"1,000",,.,,B/HC,,HP,,..,,..,,300,,8,,4,,36,,.,,0.4,1.2,COMPONENT,,False,2,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
,,Military Petrol Depot,,PR (5) KR (5),,OSD/PT,,95,,,,,,,,TW/OHT,,"60,000 Galls",,Yes,,600,,,,,,200,,..,,5,5,COMPONENT,,False,3,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
,,Nawabganj,,PR (17.7) KR (44),,OSD/PT,,97,,"4,153",,,,B/HC,,TW/OHT,,"50,000 Galls",,Yes,,"1,837",,92,,842,,590,,...,,17.7,44,COMPONENT,,False,4,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
2,,Fatehpur,,PR (1) KR (0.5),,OSD/PT,,12,,"1,500",,.,,B,,HP,,.,,,,985,,14,,60,,..,,..,,1,0.5,ORDINARY,,False,5,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
3,,Military Petrol Depot,,,,SeeBaraBankiUrbanAgglomeration,,,,,,,,,,,,See,,Bara Banki,,Urban Agglomeration Uttar Pradesh,,,,,,,,,,,,CROSS_REFERENCE,Bara Banki Urban Agglomeration,False,6,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
4,,Nawabganj,,,,SeeBaraBankiUrbanAgglomeration,,,,,,,,,,,,See,,Bara Banki,,Urban Agglomeration Uttar Pradesh,,,,,,,,,,,,CROSS_REFERENCE,Bara Banki Urban Agglomeration,False,7,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
5,,Rampur Bhawanipur,,PR (0) KR (1.5),,OSD,,..,,250,,..,,B,,HP,,..,,..,,,,,,,,..,,..,,0,1.5,ORDINARY,,False,8,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
6,,Rudauli,,PR (12) KR (5),,OSD,,,,"2,000",,,,HC,,HP,,...,,.,,372,,22,,107,,85,,...,,12,5,ORDINARY,,False,9,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
7,,Zaidpur,,PR (8) KR (11),,OSD,,..,,785,,15,,HL,,HP,,..,,,,115,,15,,20,,120,,...,,8,11,ORDINARY,,False,10,bara_banki_civic_1971,Bara Banki,Uttar Pradesh,1971,format_001,bara_banki_civic_001,bara_banki_civic_1971.pdf,43a3adbe4819da4ee677625bcf6cc381f4539bed9acb6c282b4835c028c01198,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:27:08.099825+00:00
1,,Aonla,,PR (5) KR (5),,ST/BD/OSD,,25,,"4,510",,10,,B/HC,,HP,,...,,...,,36,,42,,559,,230,,...,,5,5,ORDINARY,,False,0,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
2,,Baheri,,PR (7) KR (2),,ST/OSD,,22,,"3,500",,,,B,,TW/OHT,,"22,000 Galls.",,...,,369,,56,,259,,338,,...,,7,2,ORDINARY,,False,1,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
3,,Bareilly,,PR (5) KR (5),,ST/BD/OSD,,25,,"4,510",,10,,F/HC,,HP,,,,,,36,,42,,559,,230,,,,,,CROSS_REFERENCE,Bareilly City Urban Agglomeration,False,2,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
4,,Bareilly Cantt.,,PR (5) KR (5),,ST/BD/OSD,,25,,"4,510",,10,,F/HC,,HP,,,,,,36,,42,,559,,230,,,,,,CROSS_REFERENCE,Bareilly City Urban Agglomeration,False,3,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
,,Bareilly City Urban Agglomeration,,PR (307) KR (16),,S/ST/OSD,,"11,559",,"50,278",,..,,MT/B/HC,,TW/OHT,,"5,576,418 Galls.",,Yes,,"13,705",,"1,260",,"4,379",,"6,218",,...,,307,16,AGGREGATE,,False,4,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
,,Bareilly,,PR (240) KR (14),,S/ST/OSD,,"10,000",,"50,000",,...,,MT/B/HC,,TW/OHT,,"25,418 Galls",,Yes,,"11,845",,"1,202",,"4,105",,"5,301",,...,,240,14,COMPONENT,,False,5,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
,,Bareilly Cantt.,,PR (14) KR (1),,ST/OSD,,436,,217,,...,,B,,TW/OHT,,"800,000 Galls.",,...,,600,,3,,250,,305,,...,,14,1,COMPONENT,,False,6,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
,,Izatnagar Rly. Colony,,PR (50) KR (0),,ST/OSD,,"1,080",,43,,...,,B,,TW/OHT,,"4,676,000 Galls.",,Yes,,"1,710",,40,,8,,462,,...,,50,0,COMPONENT,,False,7,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
,,Northern Rly. Colony,,PR (3) KR (1),,ST/OSD,,43,,18,,...,,B,,TW/OHT,,"75,000 Galls.",,Yes,,550,,15,,16,,150,,...,,3,1,COMPONENT,,False,8,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
5,,Faridpur,,PR (5) KR (2),,PT/OSD,,170,,"3,402",,...,,B/HC,,HP/W,,...,,...,,324,,48,,184,,202,,...,,5,2,ORDINARY,,False,9,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
6,,Izatnagar Rly. Settlement,,PR (5) KR (5),,ST/BD/OSD,,25,,"4,510",,10,,F/HC,,HP,,,,,,36,,42,,559,,230,,,,,,CROSS_REFERENCE,Bareilly City Urban Agglomeration,False,10,bareilly_civic_1971,Bareilly,Uttar Pradesh,1971,format_001,bareilly_civic_001,bareilly_civic_1971.pdf,94b5d10c4eb19b496cfb6aeed0225f5143f481b0928ef49e4e012a7526fe9f68,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:47.230486+00:00
