pdf_id,file_name,state,district,year,format_id,source_pdf,source_page_start,source_page_end
sitapur_tehsil_1971,sitapur_tehsil_1971.pdf,Uttar Pradesh,Sitapur,1971,format_003,1971 Sitapur.pdf,260,261
sultanpur_civic_1971,sultanpur_civic_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_001,1971 Sultanpur.pdf,27,28
sultanpur_mededu_1971,sultanpur_mededu_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_002,1971 Sultanpur.pdf,27,28
sultanpur_tehsil_1971,sultanpur_tehsil_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_003,1971 Sultanpur.pdf,271,272
tehri_garhwal_civic_1971,tehri_garhwal_civic_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_001,1971 Tehri Garhwal.pdf,33,34
tehri_garhwal_mededu_1971,tehri_garhwal_mededu_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_002,1971 Tehri Garhwal.pdf,35,36
tehri_garhwal_tehsil_1971,tehri_garhwal_tehsil_1971.pdf,Uttar Pradesh,Tehri Garhwal,1971,format_003,1971 Tehri Garhwal.pdf,231,232
unnao_civic_1971,unnao_civic_1971.pdf,Uttar Pradesh,Unnao,1971,format_001,1971 Unnao.pdf,22,23
unnao_mededu_1971,unnao_mededu_1971.pdf,Uttar Pradesh,Unnao,1971,format_002,1971 Unnao.pdf,24,25
unnao_tehsil_1971,unnao_tehsil_1971.pdf,Uttar Pradesh,Unnao,1971,format_003,1971 Unnao.pdf,202,203
uttar_kashi_civic_1971,uttar_kashi_civic_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_001,1971 Uttar Kashi.pdf,25,26
uttar_kashi_mededu_1971,uttar_kashi_mededu_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_002,1971 Uttar Kashi.pdf,25,26
uttar_kashi_tehsil_1971,uttar_kashi_tehsil_1971.pdf,Uttar Pradesh,Uttar Kashi,1971,format_003,1971 Uttar Kashi.pdf,103,104
varanasi_civic_1971,varanasi_civic_1971.pdf,Uttar Pradesh,Varanasi,1971,format_001,1971 Varanasi.pdf,31,32
varanasi_mededu_1971,varanasi_mededu_1971.pdf,Uttar Pradesh,Varanasi,1971,format_002,1971 Varanasi.pdf,33,34
